"word" "n" "id"
"rt" 5371 1
"ï" 4811 2
"o" 4749 3
"marco" 4337 4
"civil" 4286 5
"http" 3796 6
"da" 3732 7
"t.co" 3723 8
"internet" 3312 9
"do" 2262 10
"a" 1948 11
"de" 1722 12
"e" 1629 13
"votaï" 1056 14
"que" 941 15
"na" 743 16
"marcocivil" 672 17
"cï" 651 18
"no" 647 19
"para" 647 20
"mara" 587 21
"sobre" 492 22
"neutralidade" 482 23
"_o" 478 24
"nï" 453 25
"ao" 438 26
"google" 388 27
"livre" 385 28
"em" 364 29
"projeto" 356 30
"samadeu" 356 31
"as" 355 32
"facebook" 353 33
"ser" 340 34
"votado" 334 35
"por" 330 36
"votar" 319 37
"pode" 316 38
"liberdade" 298 39
"com" 288 40
"nesta" 280 41
"_ï" 268 42
"governo" 268 43
"adiada" 258 44
"rede" 256 45
"estï" 255 46
"apoio" 254 47
"rio" 254 48
"via" 252 49
"brasil" 245 50
"sem" 242 51
"deputados" 238 52
"deve" 230 53
"um" 226 54
"hoje" 220 55
"uma" 218 56
"pauta" 216 57
"lei" 213 58
"texto" 210 59
"semana" 202 60
"os" 201 61
"alessandromolon" 195 62
"lobby" 195 63
"pela" 194 64
"observatorio" 193 65
"dos" 189 66
"vez" 183 67
"das" 182 68
"mercadolivre" 181 69
"se" 168 70
"contra" 163 71
"teles" 156 72
"expressï" 155 73
"mais" 155 74
"molon" 153 75
"es" 150 76
"atenï" 149 77
"carta" 148 78
"relator" 148 79
"caro" 147 80
"serï" 147 81
"amanhï" 145 82
"sua" 144 83
"of" 141 84
"terï" 141 85
"eu" 139 86
"s" 139 87
"acordo" 136 88
"ameaï" 136 89
"feira" 133 90
"agora" 131 91
"declaram" 131 92
"web" 130 93
"adia" 129 94
"deixe" 126 95
"depmarcomaia" 125 96
"minha" 125 97
"morrer" 125 98
"foi" 124 99
"quero" 124 100
"pï" 122 101
"reuniï" 120 102
"autoral" 119 103
"tem" 117 104
"direitos" 116 105
"ria" 115 106
"entre" 113 107
"idgnow" 111 108
"plenï" 111 109
"novo" 110 110
"diz" 109 111
"rights" 108 112
"sï" 108 113
"caribe" 106 114
"bill" 105 115
"p" 105 116
"jornaloglobo" 104 117
"quarta" 104 118
"vï" 102 119
"pelo" 98 120
"biagranja" 96 121
"defensores" 96 122
"direito" 96 123
"quer" 96 124
"agenciacamara" 95 125
"mudanï" 95 126
"estadao" 94 127
"esvaziar" 94 128
"idec" 94 129
"mandou" 93 130
"rios" 93 131
"fim" 91 132
"marcelobranco" 91 133
"youpix" 90 134
"polï" 89 135
"deputado" 88 136
"dia" 87 137
"depois" 86 138
"pra" 85 139
"ocorrerï" 83 140
"vel" 83 141
"falta" 82 142
"first" 82 143
"q" 81 144
"_rio" 80 145
"especial" 80 146
"_tica" 79 147
"mercado" 78 148
"prenass" 78 149
"_s" 77 150
"brazil" 77 151
"comissï" 76 152
"the" 76 153
"esse" 75 154
"usuï" 75 155
"vai" 75 156
"cancelada" 74 157
"democrï" 74 158
"relatï" 74 159
"equipe" 73 160
"telefonia" 73 161
"convergencia" 72 162
"entenda" 72 163
"vocï" 72 164
"camaradeputados" 71 165
"pressï" 71 166
"getschko" 70 167
"indï" 69 168
"congresso" 68 169
"favor" 68 170
"prï" 68 171
"privacidade" 68 172
"vem" 68 173
"versï" 67 174
"sociedade" 66 175
"telecom" 66 176
"_manuela65" 65 177
"aprovaï" 65 178
"jï" 65 179
"provedores" 65 180
"anatel" 64 181
"deluca" 64 182
"veja" 64 183
"aprovem" 63 184
"marcocivilja" 63 185
"stria" 62 186
"taxa" 62 187
"inclusiva" 61 188
"and" 60 189
"artigo" 60 190
"debate" 60 191
"entidades" 60 192
"royalties" 60 193
"princï" 59 194
"worldï" 59 195
"19" 58 196
"ada" 58 197
"ainda" 57 198
"censura" 57 199
"defende" 56 200
"ou" 55 201
"_info" 54 202
"como" 54 203
"estadaolink" 54 204
"operadoras" 54 205
"pauloteixeira13" 54 206
"aprova" 53 207
"g1" 53 208
"leis" 53 209
"ncia" 53 210
"querem" 53 211
"digital" 52 212
"lemos_ronaldo" 52 213
"lobbyists" 52 214
"apoiam" 51 215
"empresas" 51 216
"prioritï" 51 217
"_vel" 50 218
"nos" 50 219
"ss17cqiy" 50 220
"autorais" 49 221
"criminalizaï" 49 222
"entra" 49 223
"faz" 49 224
"final" 49 225
"nova" 49 226
"paulo" 49 227
"seu" 49 228
"aprovar" 48 229
"joao_arruda" 48 230
"alteraï" 47 231
