"twitt" "palavra" "n"
1 1 2
1 2 2
1 3 2
1 10 2
1 13 1
1 30 1
1 79 1
1 99 1
1 113 1
1 240 1
1 270 1
1 304 1
1 351 1
1 1223 1
1 1534 1
1 1949 1
1 2622 1
1 4447 1
1 4986 1
1 5095 1
2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 2
2 8 1
2 10 1
2 13 1
2 16 1
2 18 1
2 21 1
2 48 1
2 57 1
2 60 1
2 77 1
2 109 1
2 149 1
2 509 1
2 510 1
2 690 1
2 1514 1
2 1755 1
2 1958 1
2 2780 1
2 4200 1
3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 2
3 8 1
3 10 1
3 13 1
3 16 1
3 18 1
3 21 1
3 48 1
3 57 1
3 60 1
3 77 1
3 109 1
3 149 1
3 509 1
3 510 1
3 690 1
3 1514 1
3 1755 1
3 1958 1
3 2511 1
4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 2
4 8 1
4 10 1
4 13 1
4 16 1
4 18 1
4 21 1
4 48 1
4 57 1
4 60 1
4 77 1
4 109 1
4 149 1
4 509 1
4 510 1
4 690 1
4 1514 1
4 1755 1
4 1958 1
4 2511 1
5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 2
5 8 1
5 10 1
5 13 1
5 16 1
5 18 1
5 21 1
5 48 1
5 57 1
5 60 1
5 77 1
5 109 1
5 149 1
5 509 1
5 510 1
5 690 1
5 1514 1
5 1755 1
5 1958 1
5 2780 1
6 1 1
6 2 4
6 3 1
6 4 1
6 5 1
6 7 1
6 10 2
6 11 1
6 13 1
6 31 1
6 61 1
6 74 1
6 175 1
6 212 1
6 239 1
6 242 1
6 246 1
6 615 1
6 889 1
6 890 1
6 892 1
6 968 1
6 2198 1
6 3368 1
6 3587 1
7 1 1
7 3 1
7 4 1
7 5 1
7 7 1
7 10 2
7 11 1
7 13 1
7 31 1
7 49 1
7 61 1
7 212 1
7 239 1
7 246 1
7 615 1
7 801 1
7 889 1
7 890 1
7 892 1
7 923 1
7 2198 1
7 2621 1
7 2645 1
7 3213 1
8 1 1
8 3 1
8 4 1
8 5 1
8 7 1
8 10 2
8 11 1
8 13 1
8 31 1
8 49 1
8 61 1
8 212 1
8 239 1
8 246 1
8 615 1
8 801 1
8 889 1
8 890 1
8 892 1
8 923 1
8 2198 1
8 2621 1
8 2645 1
8 3213 1
9 1 1
9 3 1
9 4 1
9 5 1
9 7 1
9 10 2
9 11 1
9 13 1
9 31 1
9 61 1
9 74 1
9 175 1
9 212 1
9 239 1
9 246 1
9 615 1
9 801 1
9 889 1
9 890 1
9 892 1
9 923 1
9 968 1
9 1071 1
10 1 1
10 3 1
10 4 1
10 5 1
10 7 1
10 10 2
10 11 1
10 13 1
10 31 1
10 61 1
10 74 1
10 175 1
10 212 1
10 239 1
10 246 1
10 615 1
10 801 1
10 889 1
10 890 1
10 892 1
10 923 1
10 968 1
10 1071 1
11 1 1
11 3 1
11 4 1
11 5 1
11 7 1
11 10 2
11 11 1
11 13 1
11 31 1
11 61 1
11 74 1
11 175 1
11 212 1
11 239 1
11 246 1
11 615 1
11 801 1
11 889 1
11 890 1
11 892 1
11 923 1
11 968 1
11 1071 1
12 1 1
12 3 1
12 4 1
12 5 1
12 7 1
12 10 2
12 11 1
12 13 1
12 31 1
12 61 1
12 74 1
12 175 1
12 212 1
12 239 1
12 246 1
12 615 1
12 801 1
12 889 1
12 890 1
12 892 1
12 923 1
12 968 1
12 1071 1
13 1 1
13 3 1
13 4 1
13 5 1
13 7 1
13 10 2
13 11 1
13 13 1
13 31 1
13 61 1
13 74 1
13 175 1
13 212 1
13 239 1
13 246 1
13 615 1
13 801 1
13 889 1
13 890 1
13 892 1
13 923 1
13 968 1
13 1071 1
14 1 1
14 3 1
14 4 1
14 5 1
14 7 1
14 10 2
14 11 1
14 13 1
14 31 1
14 61 1
14 74 1
14 175 1
14 212 1
14 239 1
14 246 1
14 615 1
14 801 1
14 889 1
14 890 1
14 892 1
14 923 1
14 968 1
14 1071 1
15 1 1
15 3 1
15 4 1
15 5 1
15 7 1
15 10 2
15 11 1
15 13 1
15 31 1
15 61 1
15 74 1
15 175 1
15 212 1
15 239 1
15 246 1
15 615 1
15 801 1
15 889 1
15 890 1
15 892 1
15 923 1
15 968 1
15 1071 1
16 1 1
16 3 1
16 4 1
16 5 1
16 7 1
16 10 2
16 11 1
16 13 1
16 31 1
16 61 1
16 74 1
16 175 1
16 212 1
16 239 1
16 246 1
16 615 1
16 801 1
16 889 1
16 890 1
16 892 1
16 923 1
16 968 1
16 1071 1
17 1 1
17 3 1
17 4 1
17 5 1
17 7 1
17 10 2
17 11 1
17 13 1
17 31 1
17 61 1
17 74 1
17 175 1
17 212 1
17 239 1
17 246 1
17 615 1
17 801 1
17 889 1
17 890 1
17 892 1
17 923 1
17 968 1
17 1071 1
18 1 1
18 3 3
18 4 1
18 5 1
18 7 1
18 9 1
18 26 1
18 32 1
18 71 2
18 158 1
18 209 1
18 248 1
18 254 1
18 385 1
18 473 1
18 515 1
18 602 1
18 608 2
18 756 1
18 1683 1
18 1694 1
19 1 1
19 3 3
19 4 1
19 5 1
19 7 1
19 9 1
19 26 1
19 32 1
19 71 2
19 158 1
19 209 1
19 248 1
19 254 1
19 385 1
19 473 1
19 515 1
19 602 1
19 608 2
19 756 1
19 1683 1
19 1694 1
20 1 1
20 3 3
20 4 1
20 5 1
20 7 1
20 9 1
20 26 1
20 32 1
20 71 2
20 158 1
20 209 1
20 248 1
20 254 1
20 385 1
20 473 1
20 515 1
20 602 1
20 608 2
20 756 1
20 1683 1
20 1694 1
21 1 1
21 3 3
21 4 1
21 5 1
21 7 1
21 9 1
21 26 1
21 32 1
21 71 2
21 158 1
21 209 1
21 248 1
21 254 1
21 385 1
21 473 1
21 515 1
21 602 1
21 608 2
21 756 1
21 1683 1
21 1694 1
22 1 1
22 3 3
22 4 1
22 5 1
22 7 1
22 9 1
22 26 1
22 32 1
22 71 2
22 158 1
22 209 1
22 248 1
22 254 1
22 385 1
22 473 1
22 515 1
22 602 1
22 608 2
22 756 1
22 1683 1
22 1694 1
23 1 1
23 4 1
23 5 1
23 7 1
23 12 1
23 13 3
23 22 1
23 49 1
23 91 1
23 116 1
23 206 1
23 219 1
23 246 1
23 248 2
23 304 1
23 379 1
23 388 1
23 483 1
23 554 1
23 1275 1
23 1548 1
23 1590 1
24 1 1
24 4 1
24 5 1
24 7 1
24 12 1
24 13 3
24 22 1
24 49 1
24 91 1
24 116 1
24 206 1
24 219 1
24 246 1
24 248 2
24 304 1
24 379 1
24 388 1
24 483 1
24 554 1
24 1275 1
24 1548 1
24 1590 1
25 1 1
25 4 1
25 5 1
25 7 1
25 12 1
25 13 3
25 22 1
25 49 1
25 91 1
25 116 1
25 206 1
25 219 1
25 246 1
25 248 2
25 304 1
25 379 1
25 388 1
25 483 1
25 554 1
25 1275 1
25 1548 1
25 1590 1
26 1 1
26 4 1
26 5 1
26 7 1
26 12 1
26 13 3
26 22 1
26 49 1
26 91 1
26 116 1
26 206 1
26 219 1
26 246 1
26 248 2
26 304 1
26 379 1
26 388 1
26 483 1
26 554 1
26 1275 1
26 1548 1
26 1590 1
27 1 1
27 4 1
27 5 1
27 7 1
27 12 1
27 13 3
27 22 1
27 49 1
27 91 1
27 116 1
27 206 1
27 219 1
27 246 1
27 248 2
27 304 1
27 379 1
27 388 1
27 483 1
27 554 1
27 1275 1
27 1548 1
27 1590 1
28 1 1
